reading_id,aircraft_id,event_ts,event_date,engine_pos,phase_of_flight,altitude_ft,ias_kts,egt_c,n1_pct,fuel_flow_kg_h,vib_ips
VR100207,A00007,2025-02-01T16:54:00Z,2025-02-01 16:54:00,1,CRUISE,36553,283,458.6,35.4,2917.5,0.128
VR100208,A00022,2025-02-01T16:56:00Z,2025-02-01 16:56:00,1,CLIMB,8568,272,650.7,22.8,4581.1,1.415
VR100209,A00014,2025-02-01T16:58:00Z,2025-02-01 16:58:00,2,CLIMB,27022,268,826.7,46.0,2103.7,1.355
VR100210,A00009,2025-02-01T17:00:00Z,2025-02-01 17:00:00,2,TAKEOFF,63,169,466.7,92.1,3746.2,7.79
VR100211,A00006,2025-02-01T17:02:00Z,2025-02-01 17:02:00,1,DESCENT,18511,294,356.0,88.8,2633.9,1.687
VR100212,A00014,2025-02-01T17:04:00Z,2025-02-01 17:04:00,2,CLIMB,18420,302,359.6,83.4,3537.1,0.891
VR100213,A00001,2025-02-01T17:06:00Z,2025-02-01 17:06:00,2,CRUISE,37170,290,594.1,30.1,755.3,1.65
VR100214,A00022,2025-02-01T17:08:00Z,2025-02-01 17:08:00,1,LANDING,313,140,576.2,52.0,2170.3,1.699
VR100215,A00015,2025-02-01T17:10:00Z,2025-02-01 17:10:00,1,PARKED,50,0,551.1,69.4,3009.8,1.164
VR100216,A00020,2025-02-01T17:12:00Z,2025-02-01 17:12:00,1,TAKEOFF,375,150,366.8,62.6,4141.9,0.874
VR100217,A00021,2025-02-01T17:14:00Z,2025-02-01 17:14:00,1,DESCENT,5722,314,470.8,64.2,3020.2,2.156
VR100218,A00017,2025-02-01T17:16:00Z,2025-02-01 17:16:00,2,CRUISE,37291,277,731.5,26.8,2045.6,1.938
VR100219,A00011,2025-02-01T17:18:00Z,2025-02-01 17:18:00,1,DESCENT,23110,275,313.6,63.2,4992.6,2.114
